x,y,z,source,maxzoom
9,22,6,glo30,12
27,29,6,glo30,12
27,28,6,glo30,12
58,30,6,glo30,12
59,30,6,glo30,12
59,31,6,glo30,12
16,13,5,glo30,12
17,13,5,glo30,12
158,137,8,glo30,12
158,136,8,glo30,12
159,136,8,glo30,12
60,44,6,glo30,12
4,28,6,glo30,12
40,47,6,glo30,12
41,47,6,glo30,12
15,31,6,glo30,12
30,4,6,glo30,12
30,5,6,glo30,12
60,10,6,glo30,12
3,30,6,glo30,12
3,31,6,glo30,12
45,39,6,glo30,12
30,39,6,glo30,12
3,53,6,glo30,12
1090,789,11,glo30,12
13,28,6,glo30,12
12,28,6,glo30,12
16,49,6,glo30,12
16,48,6,glo30,12
17,48,6,glo30,12
35,38,6,glo30,12
60,38,6,glo30,12
3,28,6,glo30,12
22,46,6,glo30,12
22,47,6,glo30,12
26,16,6,glo30,12
27,16,6,glo30,12
27,17,6,glo30,12
19,44,6,glo30,12
36,10,6,glo30,12
540,387,10,glo30,12
42,28,6,glo30,12
59,9,6,glo30,12
58,9,6,glo30,12
67,49,7,glo30,12
66,49,7,glo30,12
0,26,6,glo30,12
1,27,6,glo30,12
0,27,6,glo30,12
29,39,6,glo30,12
5,48,6,glo30,12
4,48,6,glo30,12
52,9,6,glo30,12
0,38,6,glo30,12
23,48,6,glo30,12
22,48,6,glo30,12
29,33,6,glo30,12
9,51,6,glo30,12
8,51,6,glo30,12
19,47,6,glo30,12
17,36,6,glo30,12
4,27,6,glo30,12
20,25,6,glo30,12
62,53,6,glo30,12
497,357,10,glo30,12
132,78,8,glo30,12
57,40,6,glo30,12
24,18,6,glo30,12
45,61,7,glo30,12
9,9,6,glo30,12
1404,1439,12,frrgealti5stpm,14
1405,1439,12,frrgealti5stpm,14
703,719,11,frrgealti5stpm,14
704,721,11,frrgealti5stpm,14
1404,1440,12,frrgealti5stpm,14
1405,1440,12,frrgealti5stpm,14
1406,1444,12,frrgealti5stpm,14
1407,1444,12,frrgealti5stpm,14
1407,1445,12,frrgealti5stpm,14
703,720,11,frrgealti5stpm,14
703,721,11,frrgealti5stpm,14
1408,1440,12,frrgealti5stpm,14
1408,1441,12,frrgealti5stpm,14
1406,1437,12,frrgealti5stpm,14
1407,1437,12,frrgealti5stpm,14
704,722,11,frrgealti5stpm,14
1408,1439,12,frrgealti5stpm,14
1083,648,11,dk,17
1082,648,11,dk,17
2167,1273,12,dk,17
2166,1272,12,dk,17
2167,1272,12,dk,17
2177,1276,12,dk,17
2176,1276,12,dk,17
542,316,10,dk,17
542,323,10,dk,17
542,322,10,dk,17
2142,1255,12,dk,17
2143,1254,12,dk,17
2143,1255,12,dk,17
2184,1303,12,dk,17
2184,1302,12,dk,17
2162,1281,12,dk,17
2163,1280,12,dk,17
2162,1280,12,dk,17
1082,628,11,dk,17
1082,629,11,dk,17
546,321,10,dk,17
547,320,10,dk,17
546,320,10,dk,17
269,157,9,dk,17
268,157,9,dk,17
2170,1271,12,dk,17
2171,1270,12,dk,17
2170,1270,12,dk,17
1071,630,11,dk,17
1070,631,11,dk,17
1071,631,11,dk,17
268,161,9,dk,17
269,160,9,dk,17
268,160,9,dk,17
2158,1298,12,dk,17
2159,1298,12,dk,17
1095,639,11,dk,17
1094,639,11,dk,17
1094,638,11,dk,17
2183,1274,12,dk,17
2183,1275,12,dk,17
2182,1275,12,dk,17
538,322,10,dk,17
538,323,10,dk,17
1085,634,11,dk,17
1084,635,11,dk,17
1084,634,11,dk,17
2172,1292,12,dk,17
2172,1293,12,dk,17
134,79,8,dk,17
1079,623,11,dk,17
1079,622,11,dk,17
1086,624,11,dk,17
1087,624,11,dk,17
2150,1251,12,dk,17
2151,1251,12,dk,17
